plot;def;height;DBH;canopyA;mycrhz;pci;richness.05;richness.010;shannon.05;shannon.010;shrubcov.05;shrubcov.010;FRic05;FEve05;FDiv05;RaoQ05;FRic010;FEve010;FDiv010;RaoQ010;NMDS1.05;NMDS2.05;NMDS1;NMDS2;NMDS1.010;NMDS2.010;Ndef.m;Ntindex;Ndindex;basalA.hectare;tree.hectare;slope;comp;aridity.index;evapotrans;lat;long;pH;CO3;C;N;pbray;NO3;NH4;Ca.mol;Mg.mol;K.mol;Na.mol;humid;sand;grazer;cattle;sheep;pig;reforestation;NDBH.m;LAB.a.010;LAB.a.05;LAB.r.010;LAB.r.05;CIS.a.010;CIS.a.05;CIS.r.010;CIS.r.05;FAB.a.010;FAB.a.05;FAB.r.010;FAB.r.05;plot
Argalloncillo;53;0.193619483;-0.360388161;-0.159913614;-0.450585822;-0.514674631;-0.605357683;-0.586868493;-0.411228773;-0.337169945;-0.617984338;-0.725486152;-0.277476908;-0.884898499;0.264438039;-0.322526166;-0.291222582;-0.579764953;0.745787746;-0.289924287;1.337694085;0.470923561;-1.382791306;0.100884258;-1.874258441;0.468493639;-0.131840083;-0.860381547;-0.646841771;-1.121787661;-0.54403591;-0.539043066;-0.895928155;1.16912551;0.658978146;1.799528178;0.746536762;1.113869621;-0.101915926;-0.196796036;-0.027431858;0.814065681;-0.327918512;-0.323711741;0.367655812;-0.321911973;0.305244404;-0.327246584;-0.667112012;0.682692806;P+O;NB;O;P;0;-0.850052856;-0.496864726;-0.452508824;-0.513989305;-0.466534796;-0.791577185;-0.709327253;-1.11469329;-1.044254965;0.16486231;0.000103399;1.421777978;-0.035554868;Argalloncillo
Arroyo Cortijo;53;-0.132121118;-0.904290563;-0.978650832;-0.638414558;0.34863897;0.807952879;1.1707655;0.667358543;1.258141494;0.86680539;0.976592234;-0.225430214;0.240087173;0.34851433;-0.327049148;-0.318972107;0.568257858;0.268847378;-0.271611324;0.195833377;-1.021994585;0.046244512;-0.94797639;-0.400015882;-0.709565322;-0.470351166;0.688936267;0.111655977;0.164623229;1.60008236;0.606561868;-0.279078151;-1.447517957;0.582015621;1.194256242;1.6835902;0.028151596;-0.101915926;0.111891498;0.321704359;-0.5548389;1.548000452;-0.587901561;-0.026574267;0.106108539;-0.179315424;-0.629144399;0.968223924;-1.106360604;B+O;B;O;NP;0;-1.173020787;-0.167610922;-0.171470571;-0.280251778;-0.25812292;0.429973908;0.307383053;0.194728362;0.203803971;-0.021664059;-0.191541464;-0.153649044;-0.281591341;Arroyo Cortijo
Atalaya;13.33333333;1.574139171;-0.052518878;0.48247803;0.913868971;-0.572683846;0.276061807;0.417493789;0.204406057;0.172955312;-0.045773014;0.412666033;-0.21184158;-0.473814963;0.666778502;-0.334046635;-0.17103132;0.521384701;0.048309476;-0.32333787;-0.250501294;1.312763469;0.404554287;1.311217503;0.508926948;1.106904845;-0.742618487;1.263962341;-0.0315331;1.26180899;0.020559497;-0.488205589;-0.509062174;0.468751912;1.333316461;0.078632056;0.311405353;0.750938383;-0.101915926;1.02345622;0.353177627;-0.262238068;-0.728522647;0.223367209;1.113969758;0.8650984;0.728732439;0.597536418;-0.517868113;0.095513335;P+O;NB;O;P;YES;0.766223354;-0.496864726;-0.452508824;-0.513989305;-0.466534796;0.637792549;0.547253321;0.709765837;0.551194101;-0.319860372;-0.281301801;-0.357997713;-0.290097084;Atalaya
Atalaya- Cortelana;52.5;0.635696012;1.080440086;1.109735671;-0.153538514;0.21499029;-0.863704775;-1.026276992;-0.81041032;-1.058482378;-0.894224287;-1.018662089;-0.26396912;-0.635054115;-0.867607732;-0.341463005;-0.322991579;-0.99610857;-0.960356839;-0.338247183;1.124656307;0.897080137;-1.945838144;1.137441797;-1.08169938;1.297825701;0.135775862;0.056019346;0.311253554;0.032724525;-0.685184762;-0.859419841;1.675786044;-0.685211167;-0.948072673;0.38943491;-1.402832138;0.022000219;-0.101915926;0.273421353;0.570234648;-0.492176652;-0.765349246;0.767177917;-0.452720105;-0.14818417;-0.435816951;1.235622549;-0.694222537;-1.077293615;B+P;B;NO;P;0;1.004948429;-0.496864726;-0.452508824;-0.513989305;-0.466534796;-0.780516112;-0.689883166;-0.776071832;-0.788454044;-0.384130351;-0.269797598;-0.351432294;-0.17983746;Atalaya- Cortelana
Dehesa de Guadiamar;26.66666667;0.294443955;0.360025962;0.355419507;-0.508207364;0.459538938;1.035906196;0.856902287;0.397558419;0.55320923;1.752549056;2.031268889;-0.212817015;0.985086247;0.148111729;-0.324436806;-0.114107822;0.845112173;0.035854531;-0.254413055;-0.679198445;0.739072742;0.821991595;0.541970825;0.832526518;0.30856063;-0.294433765;0.822054539;0.553174353;0.946121642;2.003364793;0.191305247;0.417034204;-0.699440894;0.911855014;-1.378642896;-0.152389862;-0.774603092;-0.101915926;0.159240068;0.196082609;-0.585815999;-0.057319596;-0.024440028;-0.538871268;-0.788970692;0.029524481;-0.484205167;0.384758258;-0.344305712;P;NB;NO;P;YES;-0.375545891;-0.106678703;-0.085276247;-0.316265015;-0.285728789;1.741259208;1.490548088;0.994873583;0.923914761;0.744931317;0.649091989;0.200062909;0.322631394;Dehesa de Guadiamar
El Cobujon;49.16666667;-0.729312218;-0.832454396;-0.441587966;0.01971479;-0.205860873;0.276061807;0.354721146;0.492601644;0.597084682;-0.067148724;0.40721398;0.254831373;0.275049321;0.900081465;1.131700888;2.676679457;0.170351864;0.729510472;3.687710067;-0.917546254;-1.121006178;0.930621;-0.946356493;0.661218654;-1.481973896;1.252702281;0.355855397;1.041171894;0.327048811;0.659090016;-0.541056431;1.277420861;-1.12226706;-1.204614423;-1.677721999;-1.025725362;-0.35938515;-0.101915926;0.237805172;0.597366775;-0.323307207;-0.769145116;0.300936253;-0.268026175;-0.45302436;0.01474767;1.582062664;0.290460777;-0.362850714;0;0;0;0;0;-0.327599992;2.397862176;1.571321556;2.798531494;2.552950378;-0.378954296;-0.42118024;-0.523353966;-0.207349218;-0.232778306;-0.202081243;-0.289060813;-0.227091585;El Cobujon
El Lote de los Perez;42.5;1.093283999;0.825934812;0.422524773;-0.60566842;-0.572683846;-1.243626969;-1.340140205;-1.077144534;-1.190108735;-0.917244283;-1.036791807;-0.277477427;-0.885089221;-1.231254404;-0.353244876;-0.333035746;-1.093711121;-1.389460971;-0.347606839;NA;NA;NA;NA;NA;NA;-0.014328962;0.095279482;-0.074620118;0.165966607;-0.517150414;-1.085923453;-0.322200155;0.589365786;1.104261327;0.192162211;0.272783907;-0.242508989;-0.101915926;-0.176809074;-0.131673492;1.321665285;0.707315133;0.320793928;-0.033987102;0.764781093;-0.375684725;-0.653890122;0.219737666;0.32989059;P+O;NB;O;P;YES;1.089896715;-0.496864726;-0.452508824;-0.513989305;-0.466534796;-0.795563158;-0.709327253;-1.119686196;-1.044254965;-0.389935822;-0.318363245;-0.40614412;-0.368853957;Emparedada 
Emparedada ;40;-0.147632575;-0.052518878;-0.150077395;-1.322585346;-0.402068509;-0.027875948;-0.084687352;0.143087847;0.278256397;0.151541235;-0.129386269;-0.207743209;0.343011547;0.065909289;-0.32484565;-0.323106856;0.033793725;0.06362423;-0.273322507;0.765035586;-0.534485973;-0.771170496;-1.0519384;-0.869126427;-0.14386296;-0.919132219;-0.611609077;-0.617543498;-0.379451298;0.154986974;-0.121773079;1.150108277;-1.242880934;0.930179425;-0.170362944;1.302723312;0.400309899;-0.101915926;1.429899695;1.98110528;-0.300472659;-0.693627281;-0.585419351;2.892755228;-0.212729415;2.663213486;1.233854997;1.846822571;-2.092270764;B;B;NO;NP;0;-1.27549738;-0.270584311;-0.137054575;-0.28908083;-0.174061806;-0.055417891;-0.05782206;-0.114959845;-0.313288234;-0.389935822;-0.318363245;-0.40614412;-0.368853957;Esparraguera
Esparraguera;11.66666667;-0.287235689;0.3579735;0.659247427;1.268537821;-0.220078817;1.339843951;1.296310786;1.461429364;0.997813812;1.697169523;1.18015744;-0.277347278;1.007498478;0.594330814;-0.327715591;-0.332994569;0.481419559;0.730178917;-0.287481024;-0.185431353;-0.210390847;0.462776646;-0.440652674;0.022927922;-0.362107083;-0.844505757;-0.577999984;-0.653419393;-0.502967491;0.356628191;0.229055849;-0.923854786;-0.433819328;-0.9938837;-1.044222214;-0.754442685;-0.473185623;-0.101915926;-0.271296706;-0.460786199;-0.401369498;-0.755160332;-0.041815494;0.43479176;-0.79285896;1.717326736;-0.699846464;-0.639366791;-0.839891289;B+P;B;NO;P;0;-0.564951581;0.729473456;1.266902032;0.184435155;0.53473753;0.262762362;0.238507888;-0.153110769;-0.165547604;2.916587285;2.43685888;1.966707762;1.993222199;Hornachuelos
Hornachuelos;40;0.379756969;-0.218768291;-0.222679111;0.957400928;0.809300378;0.921929537;0.91967493;1.222288345;1.389767851;-0.218422982;-0.132407889;0.316707413;0.704713807;0.561033875;2.420901893;-0.235278103;1.293998166;0.346046658;-0.235392451;0.556544738;-0.929989235;-0.443762428;-0.974388986;-0.55332904;-0.782611024;0.140674288;0.195411763;0.371773066;0.143871995;-0.281902328;0.18501348;-0.38893659;-1.024691791;1.021801479;-0.035282926;0.934436735;0.274206672;-0.101915926;0.243985627;0.198117519;-0.557759597;1.276895419;-0.584281672;0.406800009;0.13371524;-0.353562215;0.067270935;0.92062183;-2.08891688;P;NB;NO;P;YES;0.455953168;1.064428922;1.076533727;1.042247232;0.679730518;-0.152850006;-0.220711184;-0.191389716;-0.302057949;-0.219733071;-0.095856807;-0.323802822;-0.236857437;Jarrama
