plot;tree.n;h.status.x;def;height;DBH;canopyA;mycrhz;pci;richness.05;richness.010;shannon.05;shannon.010;shrubcov.05;shrubcov.010;FRic05;FEve05;FDiv05;RaoQ05;FRic010;FEve010;FDiv010;RaoQ010;Ndef.m;Ntindex;Ndindex;basalA.hectare;stands.hectare;slope;comp;aridity.index;lat;long;pH;CO3;C;N;pbray;NO3;NH4;Ca.mass;Ca.mol;Mg.mass;Mg.mol;K.mass;K.mol;Na.mass;Na.mol;humid;sand;LAB.a.010;LAB.a.05;LAB.r.010;LAB.r.05;CIS.a.010;CIS.a.05;CIS.r.010;CIS.r.05;FAB.a.010;FAB.a.05;FAB.r.010;FAB.r.05;NMDS1;NMDS2
Jarrama;20;H;30;-0.504;-0.028;1.252;NA;NA;0.58;0.166;0.946;-0.33;-0.342;-0.043;-0.226;0.603;1.098;-0.276;-0.315;0.02;1.073;-0.271;-0.368;-0.342;-0.546;-0.086;-0.988;0.695;-0.484;0.911;-0.521;-0.415;0.302;-0.102;-0.417;-0.585;-0.46;-0.653;-0.812;0.685;0.686;-1.279;-1.281;0.872;0.872;1.943;1.944;-0.212;0.793;-0.496864726;-0.452508824;-0.513989305;-0.466534796;0.449554998;0.022262956;1.410052935;1.326582847;-0.34622404;-0.215032082;-0.335018746;-0.053826463;-0.129532426;-0.737363338
Jarrama;21;H;30;-1.202;-0.348;-0.795;0.899;NA;0.58;0.543;-0.065;-0.277;0.941;0.536;-0.163;0.079;0.066;-0.324;-0.247;0.323;0.301;-0.278;2.017;0.447;2.437;0.005;-0.786;0.468;-0.706;0.911;-0.517;-0.417;-0.307;-0.102;0.735;0.448;-0.224;-0.343;-0.503;0.067;0.067;-1.141;-1.141;-0.265;-0.265;0.463;0.46;0.538;0.715;-0.496864726;-0.452508824;-0.513989305;-0.466534796;1.178987964;1.727596654;1.417734329;1.453859403;-0.338028081;-0.318363245;-0.356903477;-0.368853957;0.148790327;-0.400965547
Jarrama;22;H;35;1.543;1.536;0.19;NA;NA;0.58;0.543;0.266;0.109;-0.391;-0.499;-0.046;0.316;0.853;-0.286;-0.211;0.435;1.042;-0.227;0.398;-0.485;-0.268;-0.337;-0.988;0.294;-0.657;0.911;-0.518;-0.417;0.228;-0.102;0.331;0.448;-0.229;-0.234;-0.845;0.765;0.765;-1.084;-1.085;0.258;0.258;0.846;0.841;0.571;0.714;-0.496864726;-0.452508824;-0.513989305;-0.466534796;-0.120937314;-0.047510024;1.399811076;1.29913104;-0.389935822;-0.318363245;-0.40614412;-0.368853957;-0.035887653;-0.284045848
Jarrama;23;H;25;1.497;1.499;1.941;0.29;-0.044;0.124;0.543;-0.415;0.495;-0.391;0.166;-0.262;-0.319;1.071;-0.332;-0.282;0.543;1.266;-0.229;0.143;-0.029;-0.034;-0.172;-0.786;0.846;0.206;0.911;-0.52;-0.417;0.376;-0.102;0.414;0.005;0.043;0.558;-0.325;1.421;1.421;-0.902;-0.903;0.585;0.585;1.575;1.573;1.061;1.108;-0.496864726;-0.452508824;-0.513989305;-0.466534796;0.6304185;-0.003901912;1.274348305;1.453859403;-0.154984994;-0.318363245;-0.099757896;-0.368853957;0.25723276;-0.199245235
Jarrama;24;H;40;-0.086;-1.062;0.494;NA;NA;0.58;0.543;1.204;0.881;-0.342;-0.191;-0.226;1.201;0.786;-0.291;-0.247;1.33;0.628;-0.179;-0.198;0.459;-0.037;0.491;-0.786;0.249;0.353;0.911;-0.518;-0.418;-0.03;-0.102;0.592;0.153;-0.327;0.235;-0.516;0.138;0.138;-0.882;-0.88;-0.178;-0.179;0.866;0.863;0.443;1.053;-0.496864726;-0.452508824;-0.513989305;-0.466534796;0.224845799;-0.007493168;1.310194811;1.231749334;-0.242408558;-0.136500398;-0.132584991;0.185594434;0.297812373;-0.100263653
Jarrama;25;H;35;0.24;1.487;2.784;0.473;0.485;0.124;0.166;0.266;-0.102;-0.411;-0.009;-0.262;0.915;0.397;-0.298;-0.298;0.045;1.319;-0.258;1.037;-0.442;0.117;-0.312;-0.988;0.294;0.132;0.911;-0.519;-0.417;0.283;-0.102;1.828;0.89;-0.189;0.416;1.152;0.624;0.624;-1.242;-1.244;0.335;0.335;0.278;0.279;0.895;0.798;-0.496864726;-0.452508824;-0.513989305;-0.466534796;0.496888422;-0.029040706;1.417734329;1.453859403;-0.389935822;-0.318363245;-0.40614412;-0.368853957;0.149629987;-0.304976033
Jarrama;26;H;10;0.38;1.622;1.279;NA;NA;0.124;0.543;0.799;1.179;-0.177;0.293;-0.262;1.491;0.155;-0.301;-0.282;1.036;1.13;-0.198;1.101;1.699;2.616;1.569;-0.584;0.166;-0.595;0.911;-0.521;-0.418;0.117;-0.102;1.246;-0.29;-0.35;-0.193;-0.649;0.732;0.732;3.099;3.1;0.209;0.209;3.088;3.09;0.699;0.779;-0.496864726;-0.452508824;-0.513989305;-0.466534796;0.622446555;0.273650896;1.033664623;1.451363784;-0.130397117;-0.318363245;-0.099757896;-0.368853957;0.402389636;-0.077775228
Jarrama;27;H;5;0.194;1.13;0.75;0.166;NA;0.58;0.166;1.351;-0.084;-0.687;-0.795;-0.131;1.722;0.693;-0.252;-0.274;0.73;1.216;-0.207;-1.391;-1.467;-1.073;-1.55;-1.391;-0.966;-0.46;0.911;-0.522;-0.418;0.468;-0.102;0.485;0.3;0.209;-0.263;-0.859;0.583;0.583;0.887;0.888;0.155;0.155;0.77;0.767;0.315;0.788;-0.496864726;-0.452508824;-0.513989305;-0.466534796;-0.497113468;-0.442035178;1.335799458;1.034595453;-0.389935822;-0.318363245;-0.40614412;-0.368853957;-0.464158732;-0.262107212
Jarrama;28;H;10;1.078;1.499;0.553;NA;NA;1.036;0.543;0.597;-0.102;0.645;1.275;-0.083;0.346;-0.042;-0.301;-0.248;-0.611;0.413;-0.25;-0.198;6.378;3.494;0.137;-0.786;-0.74;-0.632;0.911;-0.522;-0.417;-0.123;-0.102;0.26;-0.142;-0.221;0.36;-0.33;0.327;0.327;1.988;1.99;0.117;0.117;0.97;0.969;0.764;1.038;-0.496864726;-0.452508824;-0.513989305;-0.466534796;2.112702019;1.291515534;1.425415723;1.391468934;-0.389935822;-0.318363245;-0.40614412;-0.368853957;0.449687273;-0.210484109
Jarrama;29;H;15;-0.458;2.373;0.697;0.554;0.007;1.036;0.543;0.928;-0.084;-0.342;-0.523;0.018;1.095;1.046;-0.244;-0.211;0.324;1.068;-0.21;-0.752;-0.182;-0.741;0.355;-0.988;-0.981;0.107;0.911;-0.525;-0.418;0.173;-0.102;-0.109;-0.29;0.035;-0.706;-0.819;0.897;0.897;-1.377;-1.379;1.884;1.884;-0.013;-0.018;1.295;-0.024;-0.496864726;-0.452508824;-0.513989305;-0.466534796;-0.174249696;-0.036223218;1.312755276;1.144402678;-0.389935822;-0.318363245;-0.40614412;-0.368853957;-0.335029075;-0.298688781
El Cobujon;30;H;20;-1.016;-0.681;-0.469;NA;NA;-0.788;-0.964;-1.077;-1.19;-0.884;-1.029;-0.277;-0.885;-1.231;-0.353;-0.333;-1.094;-1.389;-0.348;1.591;-0.006;0.804;-0.211;-0.181;-0.249;0.304;-1.021;-1.673;-1.026;0.357;-0.102;0.034;0.89;1.312;-0.91;0.311;0.031;0.031;3.606;3.604;-0.045;-0.045;1.896;1.891;-0.868;0.319;-0.454273998;-0.259594043;4.13288002;4.507495637;-0.795563158;-0.709327253;-1.119686196;-1.044254965;-0.389935822;-0.318363245;-0.40614412;-0.368853957;1.063578465;-2.476703858
